repo_name,language,description
.github,,Default Community Health/Policy Files for the Microsoft organization on GitHub
.Net-Interactive-Kernels-ADS,Jupyter Notebook,Install and Use .Net Interactive Kernels in ADS
.NET-Modernization-In-a-Day,JavaScript,.NET Modernization In a Day workshop content
0xDeCA10B,Python,Sharing Updatable Models (SUM) on Blockchain
2019-ignite-circuit-playground,Python,Get started with Circuit Playground Express and the Device Simulator Express
2023iotlevelup,Python,
25-days-of-serverless,,Repository responsible for 25 days of Serverless challenges
2LCS,C#,Lifecycle Services Companion App for administrators
3-in-1-dock,,
30daysof,JavaScript,"30 Day of Learning Resources, Samples and Curricula"
3DTelecommunications,C++,3D Telecommunications project utilizing Holoportation technology to provide live volumetric capture.  Used in one case to increase the reach of specialized medicine.
50BusinessAssignmentsLog,,Dataset containing an Event Log of 165 recordings of 50 business assignments.
A-CLIP,Python,"Official Implementation of Attentive Mask CLIP (ICCV2023, https://arxiv.org/abs/2212.08653)"
A-TALE-OF-THREE-CITIES,R,"Analyzing the safety (311) dataset published by Azure Open Datasets for Chicago, Boston and New York City using SparkR, SParkSQL, Azure Databricks, visualization using ggplot2 and leaflet. Focus is on descriptive analytics, visualization, clustering, time series forecasting and anomaly detection."
a11y-llm-eval,Python,An eval tool to benchmark how well LLMs generate accessible HTML
a11y-llm-eval-report,,
aaai21-copy-that,Python,"Source code for the ""Copy that! Editing Sequences by Copying Spans"" AAAI'21 paper"
aad-app-credential-tools,PowerShell,Tooling for application credentials
aad-hybrid-lab,PowerShell,"Create a new VM with AD installed, test users created, PowerShell Azure AD modules, and Azure AD Connect installer ready to go."
AADB2C-migration,,
aadb2c-starter-kit,JavaScript,
AADConnectConfigDocumenter,C#,AAD Connect configuration documenter is a tool to generate documentation of an AAD Connect installation.
aad_b2c_webview,Dart,Azure AD B2C Embedded Webview is a very simple Flutter package that demonstrates how to use the embedded web view to sign in users with Azure AD B2C.
aaq,,Code and Data artifact for Affective Air Quality: A Dataset of Gas Sensor Data during Emotional Experiences
AaronLocker,PowerShell,Robust and practical application control for Windows
ABAP-SDK-for-Azure,ABAP,ABAP Libraries for SAP native Integration with Azure Services
abap2git,ABAP,"One-way sync from SAP to Git repo for ABAP objects allowing multiple systems in branches and multiple packages in one branch, supporting code objects plus configuration delta and HR/payroll PCR/schema"
ability-attributes,TypeScript,Web Application Accessibility Attributes Runtime Validator
abledom,TypeScript,Continuous detection of typical web application accessibility problems.
ABS-CSA-Assets,JavaScript,This repo centralizes assets used by Microsoft CSAs. It is available to all organizations for educational purposes.
abskorea,Shell,Korea STU ABS Team Blog
abstrakt,Go,"Business oriented, config driven DevOps"
aca-dev-day,JavaScript,Documentation and Workshop steps for Azure Container Apps Dev Day
academic-knowledge-exploration-services-utilities,PowerShell,Utility tools and scripts for interacting with Microsoft Academic Knowledge Exploration Service (MAKES)
AcademicContent,,"Free tech resources for faculty, students, researchers, life-long learners, and academic community builders for use in tech based courses, workshops, and hackathons."
acc,Bicep,Apps Command Center Accelerator
acc-vm-engine,Go,ACC VM template generator
accbpg,Jupyter Notebook,Accelerated Bregman Proximal Gradient Methods
AccCheckerExtensionForVS,C#,Detect and resolve common accessibility issues before you ship your code with a free Visual Studio extension.
accelerated-dft,Jupyter Notebook,Repository to host supporting information and code samples for Accelerated DFT
acceleratoRs,HTML,"Data science and AI solution accelerator suite that provides templates for prototyping, reporting, and presenting data science analytics of specific domains"
Accera,C++,"Open source cross-platform compiler for compute-intensive loops used in AI algorithms, from Microsoft Research"
access-reviews-samples,PowerShell,"This repo contains sample code that demonstrates programmatic access to Azure AD Access Reviews. Sample code includes reading and managing Access Reviews, as well as working on decisions and results of Access Reviews."
accessibility-announcer,TypeScript,A tool to provide the screen reader announcements on the web.
accessibility-insights-action,TypeScript,Github Action to scan for accessibility issues in github pages
accessibility-insights-for-android-service,Java,Accessibility Insights for Android service
accessibility-insights-service,TypeScript,Accessibility Insights Service
accessibility-insights-web,TypeScript,Accessibility Insights for Web
accessibility-insights-windows,C#,Accessibility Insights for Windows
Accessible-Connect,TypeScript,Accessible videoconferencing platform focusing on DHH (Deaf and Hard of Hearing).
AccessorFramework,C++,A C++ SDK for building cyber-physical applications using the Accessor Model
AccountGuard,PowerShell,Security ARM Templates for AccountGuard Enrollees 
ace,Objective-C++,Build Cordova apps with true native UI
ace-ux-components,TypeScript,
acon,Python,"Official implementation of paper ""ACON: Optimizing Context Compression for Long-horizon LLM Agents"""
acoustic-bird-detection,Jupyter Notebook,Machine learning tools for acoustic bird detection
Acoustic-Perception-for-Virtual-AI-Agents,C++,"This repository contains source code demonstrating the techniques discussed in the associated paper, ""Efficient Acoustic Perception for Virtual AI Agents"""
AcousticScatteringData,MATLAB,Synthetic exterior acoustic scattering data and sample parsing code.
acr,,"Azure Container Registry samples, troubleshooting tips and references"
acs-kitchen-sink,TypeScript,Demonstrating different Azure Communication Services features
act,Python,AML Command Transfer. A lightweight tool to transfer any command line to Azure Machine Learning Services
action-armttk,Shell,Github Action for running ARM-TTK
action-publish-symbols,TypeScript,GitHub Action to publish symbols to the Azure DevOps Package Management symbol server (Artifacts server).
action-python,,
activate-sensorcore,C#,Helper library for SensorCore SDK to activate Location and Motion data
ActivateAzurewithDevOps,HTML,
ActiveDirectoryDSC.Reverse,PowerShell,ReverseDSC Orchestrator for ActiveDirectory
activities,C#,Lumia SensorCore SDK sample for Activity Monitor API.
activity-log-export-automation,PowerShell,Connect Splunk to Azure Activity Log via PowerShell automation
ACV,Jupyter Notebook,A series of work towards achieving ACV.
acx-ado-automation,Python,
acxengineeringxp_2,,
ada,C++,Source code behind the Microsoft Research project Ada
ADAF,Python,"This repository contains the code used for ""ADAF: An Artificial Intelligence Data Assimilation Framework for Weather Forecasting"""
AdaM,,
AdaMix,Python,This is the implementation of the paper AdaMix: Mixture-of-Adaptations for Parameter-efficient Model Tuning (https://arxiv.org/abs/2205.12410). 
Adaptable,Java,"A tightly optimized representation of ordered, long-living, often-modified, predicate-filtered lists random-accessible by value and index. (Java)"
adaptive-testing,Jupyter Notebook,Find and fix bugs in natural language machine learning models using adaptive testing.
AdaptiveCards,C#,A new way for developers to exchange card content in a common and consistent way.
AdaptiveCards-.NET,C#,
adaptivecards-templates,TypeScript,A collection of Adaptive Card templates for well-known data models
adaptive_cloud_community,,Public repository for hosting the Azure Adaptive Cloud Community content
adb2spark,,
